date,series,label,value,source,provider_series
2023-05-30,BAMLC0A0CM,Investment Grade OAS,1.4,,
2023-05-31,BAMLC0A0CM,Investment Grade OAS,1.42,,
2023-06-01,BAMLC0A0CM,Investment Grade OAS,1.42,,
2023-06-02,BAMLC0A0CM,Investment Grade OAS,1.39,,
2023-06-05,BAMLC0A0CM,Investment Grade OAS,1.39,,
2023-06-06,BAMLC0A0CM,Investment Grade OAS,1.39,,
2023-06-07,BAMLC0A0CM,Investment Grade OAS,1.39,,
2023-06-08,BAMLC0A0CM,Investment Grade OAS,1.4,,
2023-06-09,BAMLC0A0CM,Investment Grade OAS,1.4,,
2023-06-12,BAMLC0A0CM,Investment Grade OAS,1.41,,
2023-06-13,BAMLC0A0CM,Investment Grade OAS,1.39,,
2023-06-14,BAMLC0A0CM,Investment Grade OAS,1.38,,
2023-06-15,BAMLC0A0CM,Investment Grade OAS,1.37,,
2023-06-16,BAMLC0A0CM,Investment Grade OAS,1.35,,
2023-06-19,BAMLC0A0CM,Investment Grade OAS,1.35,,
2023-06-20,BAMLC0A0CM,Investment Grade OAS,1.35,,
2023-06-21,BAMLC0A0CM,Investment Grade OAS,1.35,,
2023-06-22,BAMLC0A0CM,Investment Grade OAS,1.34,,
2023-06-23,BAMLC0A0CM,Investment Grade OAS,1.35,,
2023-06-26,BAMLC0A0CM,Investment Grade OAS,1.36,,
2023-06-27,BAMLC0A0CM,Investment Grade OAS,1.34,,
2023-06-28,BAMLC0A0CM,Investment Grade OAS,1.34,,
2023-06-29,BAMLC0A0CM,Investment Grade OAS,1.31,,
2023-06-30,BAMLC0A0CM,Investment Grade OAS,1.3,,
2023-07-03,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-07-04,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-07-05,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-07-06,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-07-07,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-07-10,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-07-11,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-07-12,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-07-13,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-07-14,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-07-17,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-07-18,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-07-19,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-07-20,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-07-21,BAMLC0A0CM,Investment Grade OAS,1.26,,
2023-07-24,BAMLC0A0CM,Investment Grade OAS,1.25,,
2023-07-25,BAMLC0A0CM,Investment Grade OAS,1.24,,
2023-07-26,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-07-27,BAMLC0A0CM,Investment Grade OAS,1.2,,
2023-07-28,BAMLC0A0CM,Investment Grade OAS,1.19,,
2023-07-31,BAMLC0A0CM,Investment Grade OAS,1.19,,
2023-08-01,BAMLC0A0CM,Investment Grade OAS,1.19,,
2023-08-02,BAMLC0A0CM,Investment Grade OAS,1.21,,
2023-08-03,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-04,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-07,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-08,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-08-09,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-08-10,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-11,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-14,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-15,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-08-16,BAMLC0A0CM,Investment Grade OAS,1.25,,
2023-08-17,BAMLC0A0CM,Investment Grade OAS,1.26,,
2023-08-18,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-08-21,BAMLC0A0CM,Investment Grade OAS,1.26,,
2023-08-22,BAMLC0A0CM,Investment Grade OAS,1.25,,
2023-08-23,BAMLC0A0CM,Investment Grade OAS,1.25,,
2023-08-24,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-08-25,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-08-28,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-29,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-30,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-08-31,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-09-01,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-09-04,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-09-05,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-09-06,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-07,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-08,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-11,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-12,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-13,BAMLC0A0CM,Investment Grade OAS,1.24,,
2023-09-14,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-15,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-09-18,BAMLC0A0CM,Investment Grade OAS,1.22,,
2023-09-19,BAMLC0A0CM,Investment Grade OAS,1.21,,
2023-09-20,BAMLC0A0CM,Investment Grade OAS,1.2,,
2023-09-21,BAMLC0A0CM,Investment Grade OAS,1.2,,
2023-09-22,BAMLC0A0CM,Investment Grade OAS,1.2,,
2023-09-25,BAMLC0A0CM,Investment Grade OAS,1.19,,
2023-09-26,BAMLC0A0CM,Investment Grade OAS,1.2,,
2023-09-27,BAMLC0A0CM,Investment Grade OAS,1.21,,
2023-09-28,BAMLC0A0CM,Investment Grade OAS,1.23,,
2023-09-29,BAMLC0A0CM,Investment Grade OAS,1.24,,
2023-09-30,BAMLC0A0CM,Investment Grade OAS,1.25,,
2023-10-02,BAMLC0A0CM,Investment Grade OAS,1.26,,
2023-10-03,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-10-04,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-10-05,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-10-06,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-10-09,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-10-10,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-10-11,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-10-12,BAMLC0A0CM,Investment Grade OAS,1.26,,
2023-10-13,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-10-16,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-10-17,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-10-18,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-10-19,BAMLC0A0CM,Investment Grade OAS,1.31,,
2023-10-20,BAMLC0A0CM,Investment Grade OAS,1.33,,
2023-10-23,BAMLC0A0CM,Investment Grade OAS,1.33,,
2023-10-24,BAMLC0A0CM,Investment Grade OAS,1.31,,
2023-10-25,BAMLC0A0CM,Investment Grade OAS,1.3,,
2023-10-26,BAMLC0A0CM,Investment Grade OAS,1.3,,
2023-10-27,BAMLC0A0CM,Investment Grade OAS,1.31,,
2023-10-30,BAMLC0A0CM,Investment Grade OAS,1.32,,
2023-10-31,BAMLC0A0CM,Investment Grade OAS,1.32,,
2023-11-01,BAMLC0A0CM,Investment Grade OAS,1.33,,
2023-11-02,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-11-03,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-11-06,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-11-07,BAMLC0A0CM,Investment Grade OAS,1.29,,
2023-11-08,BAMLC0A0CM,Investment Grade OAS,1.28,,
2023-11-09,BAMLC0A0CM,Investment Grade OAS,1.27,,
2023-11-10,BAMLC0A0CM,Investment Grade OAS,1.26,,
