symbol,title,source,source_domain,source_reliability_score,published,tags,link,quality_score,fetched_at_utc,normalized_title,duplicate_key,duplicate_count,title_noise_score,governance_dataset,governance_status,governance_reason,retention_days,first_seen_at_utc,expires_at_utc,official_ready,usable_for_sentiment
GOOGL,GOOGL Stock: Google Loses More AI Talent As Two Experts Reportedly Move To Anthropic - Stocktwits,Stocktwits,news.google.com,0.62,2026-07-21 00:50:50+00:00,AI/晶片,https://news.google.com/rss/articles/CBMi4gFBVV95cUxObDBOMEdpR3JmR3N3TDlaNXNvTEpFOWt1WWJabUs1TlBPTjVnTUNJQ2RTaGt6TmhjLW82TUozMmRQNDNYRXliNW5HYmpXVDQzRkRYTXdmOEw5WjlDRkQ5bGcxaW0wWmJEckQtSmZrSk9tOWgya1BsWW4tUHRjd2I4Vi1fdTlkUE5QZ1JhcGMzaTZiSEdVb1pQMHFpZWxxMEE4T3Y0cXE1ZXpuRFI0MXlxTnZ4RmlnSVRVVEc0bjhDSFRqNGMtR1hIanBNT1d0dmJ3N21OSUpOVldhTFY4bG93b1h3?oc=5,67.6,2026-07-21T08:27:16+00:00,googl stock google loses more ai talent as two experts reportedly move to anthropic stocktwits,googl stock google loses more ai talent as two experts reportedly move to anthropic stocktwits,1,0.02650957290132548,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
XLK,Why XLK Investors Pay Twice for the Same Mega-Cap Exposure - 24/7 Wall St.,24/7 Wall St.,news.google.com,0.62,2026-07-20 23:51:54+00:00,未分類,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNb1hpelRqcGZPZHVoYTRBZGJLU21FUzJmVWlseXVEdEh4cG5YVG9LTkpRWEYzWUU2dkZuNm93ejVsbHJtUWs5OVkzeE1XZDdYQ3kxZ2xHRU5QVGVsaDZFMkttZlNqQmhPeHRuc19najEybHJ3Y3JjUV9nNDhxNl9MdUt0UDRRVUdBZUwyVFNlZFlJRDVvNV8wbE5fUTlwVFFmOUtVMHdHRmtkdw?oc=5,61.85,2026-07-21T08:27:16+00:00,why xlk investors pay twice for the same mega cap exposure 24 7 wall st,why xlk investors pay twice for the same mega cap exposure 24 7 wall st,1,0.06949806949806951,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
SOXX,From South Korea to Semiconductors: Last Week’s Top ETF Inflows - ETF Database,ETF Database,news.google.com,0.62,2026-07-20 21:04:48+00:00,AI/晶片,https://news.google.com/rss/articles/CBMikgFBVV95cUxQNFZOaGNmOEo4Y3ZXM2k5aUNBYUlmTldqb0wySWdiR3hrXzB1cUZ1Z2ZmMnNvM04wWjVtU0VTbURaYU9URUdjbUNxa2RCNFJfdXh3eGV3LTNWek9DeFd3SkpRVmpfTzlYQjJwVWVxNld0VnBWQnAzZzJBZzN1VTZKSV9EYlNickxpT0NzNnFsLVQ4QQ?oc=5,64.6,2026-07-21T08:27:16+00:00,from south korea to semiconductors last week s top etf inflows etf database,from south korea to semiconductors last week s top etf inflows etf database,1,0.049450549450549455,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
TSLA,Here’s How Much Traders See Tesla Stock Moving After Earnings - Investopedia,Investopedia,news.google.com,0.62,2026-07-20 20:51:00+00:00,財報/財測,https://news.google.com/rss/articles/CBMivwFBVV95cUxPN1ZhQThZcmx2SFZiUFlBT1owWkpUM2pYOGRjbEU4ZDdtaF90dFNoelpKWlVoOTY5XzQ4S04yRGFKelJ4UG41d0FOZGFHczJuNVQ2ZXo0dlA2ZEx2SW93anRZMnkySjRsaW5UTzZqMmpNSzNTb0VhTGxXbkVoMjRWZWJzdk9KaTRaZFYtV1o5NVpqckxNRUsyRGtTbDV2ODFmdGJDODFVSGo4WWdNYWIyQ0djbFlWbW1qelNKZkFJdw?oc=5,63.6,2026-07-21T08:27:16+00:00,here s how much traders see tesla stock moving after earnings investopedia,here s how much traders see tesla stock moving after earnings investopedia,1,0.03383458646616541,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
GOOGL,Here’s How Much Google Parent Alphabet’s Stock Is Seen Moving After Earnings Wednesday - Investopedia,Investopedia,news.google.com,0.62,2026-07-20 20:35:00+00:00,財報/財測,https://news.google.com/rss/articles/CBMiygFBVV95cUxNclBYWnJUZmJxWEgwa0tKMmRGUmxlNi1kVTZ5TVJ1TXFaVnpOalZscGowd2VsdEdMOVJUTWhwb0oyYUFCOFU3bWJrdUFkRUYzRU5GZFdLTDl3a2Z3RTctcnUweUEySjR3bzhHMC1Xcm5yTlBHVVhhR2F1VThpeWlzSWdScF8tUVVlMXRNczVKUGhoSU1UMklmbGJNNWJnODdQb3lPbmZGM1BMSzRsa2cxRjRkbVh4RS14UHpjNXoyNTUwSzdCbTFnOVBn?oc=5,66.6,2026-07-21T08:27:16+00:00,here s how much google parent alphabet s stock is seen moving after earnings wednesday investopedia,here s how much google parent alphabet s stock is seen moving after earnings wednesday investopedia,1,0.03818953323903819,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
IYW,Tech Staying In Neutral - Seeking Alpha,Seeking Alpha,news.google.com,0.62,2026-07-20 17:37:00+00:00,未分類,https://news.google.com/rss/articles/CBMibkFVX3lxTFAwUUdLcy02LVVWOGNGVF9zUkQ0RUxna2Zad0xPUEM0RFJOdEFMSlE2NkdMWFFQMmNkLWs2YlVGRll2cEEtaWhMVFh4RzdTcFJFYnpWSTZjSDljM0gxYWptQTFtZDF0UVNNVnUyVVNn?oc=5,54.85,2026-07-21T08:27:16+00:00,tech staying in neutral seeking alpha,tech staying in neutral seeking alpha,1,0.03296703296703297,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
AMZN,What Is Going on With Amazon Stock on Monday? - Benzinga,Benzinga,news.google.com,0.62,2026-07-20 17:19:09+00:00,未分類,https://news.google.com/rss/articles/CBMingFBVV95cUxNLUt3bVJUR01vRGxiZlBuSFNaRVE2ZFRZOURjdU5jdVBLU082R2Z2Mk42bWV4RXc5cjRzMDI0YnVua3c0LXFUY00xaEJud21wT3hnM21UOWctdzZJbWRCR0NTSFQ3Sl9lRE5rM2RZRDliYURQNDI0d1loZmV6QXhjZGRoYlVMVDNPM0Z4Vy1NNWJZVXhjSGFwS1A0MVBMdw?oc=5,58.85,2026-07-21T08:27:16+00:00,what is going on with amazon stock on monday benzinga,what is going on with amazon stock on monday benzinga,1,0.04591836734693878,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
TSLA,The bar for Tesla earnings is sky-high. Here's why and how options traders can capitalize - CNBC,CNBC,news.google.com,0.62,2026-07-20 17:15:04+00:00,財報/財測,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNVXVGbVh1NDc5TFIzeVRseUZRVTVBV1ZpWFJ3cXdIaWFXSFZOaXJkckF2dEg2Z0h3Z0x2OVNWeExMejVBU1hPdU4tcUQ3Y2tzOUY5TWl0dzBEOFRzb1czdzR2eTd5NnZKdk4zX1BmTHFkZURsb1hra1ZHSHppV1FsYWd0TkswTGJOMDR6eUx2clZDakZzMmRGUEI0ZDRFSV9WM2pMZ2V4VzloaGpRNll0bnotRTBRdnVCYW1pYWs5UXRXQdIBxwFBVV95cUxNbGdKTFJBWm41VThEZzhRUmJGWFFJQ1VEX3dSc2h2bURCSTVZeW13aDk2WnJidTZwc0x5YjZ6dkxkSVEwdk1NOHBCTTNXcWFvZWFVQTVwLXZNWFY4NEdwQkUybGxTRUxhTGFEZEFNTjRnSXRhZ2l6czJwWUctRzB6VHFUTXBEQzZSN1NrLVhZUFJycXBTQm41aVRmR2o2WXdUQ1NSQnN5NWFjX3VPMXJ0U1lTbDZrdUsyVDRYTkE4NDM5QjRtVW53?oc=5,68.6,2026-07-21T08:27:16+00:00,the bar for tesla earnings is sky high here s why and how options traders can capitalize cnbc,the bar for tesla earnings is sky high here s why and how options traders can capitalize cnbc,1,0.053571428571428575,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
META,Why Is Meta Platforms Stock Gaining Monday? - Meta Platforms (NASDAQ:META) - Benzinga,Benzinga,news.google.com,0.62,2026-07-20 17:06:42+00:00,AI/晶片,https://news.google.com/rss/articles/CBMixAFBVV95cUxQS19KRVRfRTNMVGdBdWY2SGxGOTBmRGdHR01VczJyS1l6OHR4d3k0Nk5uWHNubFBDU1MtUjVIeXgxLXZMeXJXWkdfdWdVcm1mMjI2RE9USk9GaUZFUlZtczdFQnBuTnUtMVpwREFEYTRONG1NdEt4WVFfR05sOVppdjNDNzdGMHk2LUdhSllzcHotNFg5Rm9GQnRMaXZPU3dMb3JDTVBiQnh5NFRRc3g5RHJySkhzNEZiMWVSMnpSYXVmTDJw?oc=5,64.6,2026-07-21T08:27:16+00:00,why is meta platforms stock gaining monday meta platforms nasdaq meta benzinga,why is meta platforms stock gaining monday meta platforms nasdaq meta benzinga,1,0.09075630252100841,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
AMD,Why AMD (AMD) Stock Is Up Today - StockStory,StockStory,news.google.com,0.62,2026-07-20 16:55:07+00:00,未分類,https://news.google.com/rss/articles/CBMilwFBVV95cUxOMlpPVmNtZDVkQWd1NkxVLXlUYkt5OHBmcXNPWU9CdURuNE1ucHY4ZmduQlpxMEM2Z1lhNm83bkpDdHNnYVRhbzVRSGdMVWE5X1Z2a3pTOXlxVkltbXhzTlpzYTgyTDdtYXBfS0RWSkhBMTg0RkNFcEgwRkhuUWxfcXNNU3RiZGg0TDdaWnlEbFFqM0Z3MlE0?oc=5,56.85,2026-07-21T08:27:16+00:00,why amd amd stock is up today stockstory,why amd amd stock is up today stockstory,1,0.08766233766233766,watchlist_news,official,passed_basic_checks,3650,2026-07-21T08:27:16+0000,2036-07-18T08:27:16+0000,True,True
