symbol,title,source,source_domain,source_reliability_score,published,tags,link,is_major,priority,quality_score,fetched_at_utc,governance_dataset,governance_status,governance_reason,retention_days,first_seen_at_utc,expires_at_utc,official_ready
WAR,The War in Iran and the Strait of Hormuz: Six Scenarios and How They Will Shape the Global Economy - The Common Sense,The Common Sense,news.google.com,0.62,2026-06-04 08:08:13+00:00,AI/晶片；大盤風險；國際/戰爭,https://news.google.com/rss/articles/CBMizAFBVV95cUxPZlZ6Rjd2MURoR1hqLUJPczBpSy1YOHpMdmxtbER3UHpZd3dTWHRhN3FXRGVfR0Z4RXJ2TV9oOXlXamNpY3ZkMTJzZkhTZnNCdFcwQm94V1ByNU5TSGtPUk1xQmtoRVlmWUFCaU5aUGE4VlRrTFczaklKdXNsaFM3Q2dOcUlvUzVlNGZwTmUtSDJIY3cxYkhXQkpjMjB6QVQteEJ5cHVnU0ZIRjRsM242d0R3dDRNZ3AxZWRfWW9fRnVhZTlqNGV0U1JoaEs?oc=5,True,3,79.1,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
ENERGY,How is the Middle East Conflict Impacting Global Oil Prices - Kavout,Kavout,news.google.com,0.62,2026-06-04 06:54:26+00:00,國際/戰爭,https://news.google.com/rss/articles/CBMimgFBVV95cUxQZGFmdmVfRzNSLVNHa2s2TzI3ZDJORXotV0NKaFdrZzV3dEpiU1VkN0tsMVF1OXV6WndHWS12VmpPWE9pODc5QUk4T0pmS3FzRFhTQ0lQOWRrc3hTWDVhdU1zZ0NDWEdzRC1NUHFXWDVzbXFfa1NnT1JvQnhNSEswa1NPbnJ0U29NckxVRUQ5UVp1cDB4Wll2bmZ3?oc=5,True,3,63.6,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
WAR,Asian Stocks Fall as US Iran Conflict Sparks Market Jitters - Modern Diplomacy,Modern Diplomacy,news.google.com,0.62,2026-06-04 06:24:23+00:00,國際/戰爭,https://news.google.com/rss/articles/CBMinwFBVV95cUxPSGxlZ0QxUmpYWmJTdmlUNEIwejUzUXFWRTVnN19zdUJXOEk4eHg0U2tUektpaDZVYkR2N184RXhDc0dtWVVmbHZHZlZaYmZhQ0U1REMxWUN1V2VDOXRuek9HWHI3eGRPbmxDUFNLX1czdEtfeTRlTWJwcTFiMWlsS0pmdGJJd1lMRVVSMEc3azB0V1RMeGZDTmt6YUJLQjg?oc=5,True,3,64.6,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
WAR,An Insurance War Without Borders - Global Finance Magazine,Global Finance Magazine,news.google.com,0.62,2026-06-04 06:00:00+00:00,大盤風險；國際/戰爭,https://news.google.com/rss/articles/CBMigwFBVV95cUxNWlJTUzVWUFh3OWVYajFHVE5DOWpmSlV5U1diOUtCZUtCYk56Qm96a0NYRnd2ZU8yUFRMUGhLZzY0OWtnNWVobmZJUnNMZjZRNEEwaUV0RXZTRmtwOU1mNlZfbXhsTC1BMTVaek5JUGx5TGVlUl82NmFoOWNCV3l3WU10UQ?oc=5,True,3,64.35,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
WAR,Wood Mackenzie models three global LNG market scenarios as Iran conflict removes 20% of global supply - LNG Industry,LNG Industry,news.google.com,0.62,2026-06-03 11:49:45+00:00,國際/戰爭,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNY2h1NV80TTNjUUQycFYxZHFJU0ZWdTFxSE1GSGQ2ZUhVSzFfeWVjYm1uUEpLVGlXZ0gyc3VXdXltRWotVGRfSmdJRURlVmhkMnBWSWNCVFJUZnR6WjA0ZVQ0R2R2UTM5SjEtOEJGanliSkwyM1YwMXZ4OVJpbGk4ZGxmZVVXV3RxTHFISkNpNFotWjVMaFNNY0FGZGIwekZjdnlMa3hacUZIYlNQdUFCdHFHRjU3UjNEZVVaUE1ld0ctZmpkLXJMYk1CN0FWQlNab1FSdXFLV0JzMks1a2Z0d2djMkJfVTUybUp1elJ0d9IB7wFBVV95cUxNY2h1NV80TTNjUUQycFYxZHFJU0ZWdTFxSE1GSGQ2ZUhVSzFfeWVjYm1uUEpLVGlXZ0gyc3VXdXltRWotVGRfSmdJRURlVmhkMnBWSWNCVFJUZnR6WjA0ZVQ0R2R2UTM5SjEtOEJGanliSkwyM1YwMXZ4OVJpbGk4ZGxmZVVXV3RxTHFISkNpNFotWjVMaFNNY0FGZGIwekZjdnlMa3hacUZIYlNQdUFCdHFHRjU3UjNEZVVaUE1ld0ctZmpkLXJMYk1CN0FWQlNab1FSdXFLV0JzMks1a2Z0d2djMkJfVTUybUp1elJ0dw?oc=5,True,3,70.6,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
CENTRAL_BANKS,Emerging Markets Lead Rate Hikes as Iran War Stokes Inflation - Bloomberg.com,Bloomberg.com,news.google.com,0.94,2026-06-03 10:36:39+00:00,Fed/利率；大盤風險；國際/戰爭,https://news.google.com/rss/articles/CBMisgFBVV95cUxQcERBZ1RsTC10cGs1WGwtY2pQWkl2bjZLSkxLVlhzRHYwZW5VTkxhc3BsOUp4dHBPbGk3UFNuSG9ZOGNJa0RZTEdNazkxVmVxaW9sOVZsMlpMQVptX255YjBYa2pxUnVRUzhjM29FZEFzbWdNeGthOFVySkNGUGphYUFpMGJkbkYyX05Md3NMUW1GcGRVV0Fab1dtbkJ5WTQzQVJneUhDa1VwWS1GanBCeVBn?oc=5,True,3,88.36666666666666,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
TRADE,"2026 U.S. Ag Trade Update: China, Tariffs, and Export Market Trends - AgAmerica",AgAmerica,news.google.com,0.62,2026-06-03 10:13:20+00:00,大盤風險；國際/貿易,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBvXzRzLUlqcW9JLWh6SmJZWnBIVjU5TmtrcUV6RVdkcnRKSDJxX2xMNUJCZ0xqRW45ZlNDbWFUMVFVcVFBdUxyS1JOaFJlM3NUcEtxdG05ejFMVmM?oc=5,True,3,68.01666666666667,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
ENERGY,Iran War Upends IEA’s Oil Market Outlook as Global Supply and Demand to Contract in 2026 - EnergyNow.com,EnergyNow.com,news.google.com,0.62,2026-06-02 22:54:24+00:00,大盤風險；國際/戰爭,https://news.google.com/rss/articles/CBMiugFBVV95cUxPak5XcGxWUXBlNVhTbFd3RkFvM2dzMUdvcm84a3Nzc2hxLVJYMU1zOHBsYlY0eV90Z2NlY0xDajNSdUxweFJ6WVprRjNzOHVrT0cwbXM0LUZvRHRmdF9VMEN0NUZpZ1VjYjFNeEdiSHZ1SHpyZ2otTVhyLXVsb09yVm1NUUhQM2dMMUNkQjFCalh1a2Y3bjlqX1ZNOHFVRDM5Ylh2clBwd0JmTUFtcmZUeUUyRnhsRXNjeUE?oc=5,True,3,73.01666666666667,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
ENERGY,"Oil bosses warn prices will soar within weeks as inventories near 'really, really low levels' - Fortune",Fortune,news.google.com,0.62,2026-05-30 22:54:00+00:00,產品/需求；大盤風險；國際/戰爭,https://news.google.com/rss/articles/CBMipAFBVV95cUxObHhaaGFBV2w2aHIwU0pha1VPY1E2RHU1b29TbV92MjJQck82OXJ0N2xubXRsQWV2b1RWX0N1ZGxraThEUnBjbTVObkZYN0JvaGJ4d1U0V2FDbnRSaXN1bUY5TWNmMnh3TkRURDYyT2ZoMWhJNFNQNkoxcWpOUGl2bjZhS2hnTmV2ejRNSDY3d29jdkp2MlZtY0IwVC1nOXNRS0xFRQ?oc=5,True,3,74.76666666666667,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
TRADE,How to Win a Trade War - Paul Krugman | Substack,Paul Krugman | Substack,news.google.com,0.62,2026-05-30 10:30:42+00:00,大盤風險；國際/戰爭,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBxM0EwN28xb2hvd2VsaDlUYm5NTm9QQmJqaVNodmhGZkRRLUMwMFRCMVlDbjF6RUpFdEV1SHlNRHdZSUlRNFRzSjBBLXhKLVJBNE9HRG5xeUlNSDVONi1kUmZBc1BLc2NT?oc=5,True,3,64.68333333333334,2026-06-04T10:51:14+00:00,international_news,official,passed_basic_checks,3650,2026-06-04T10:51:14+0000,2036-06-01T10:51:14+0000,True
